,Estimate,Std..Error,t.value,Pr...t..,Significance,From,To
BronxtoBronx,0.154390916,0.029508512,5.232080688,1.68E-07,*,Bronx,Bronx
BronxtoBrooklyn,-0.83692886,0.029696751,-28.18250582,1.98E-173,*,Bronx,Brooklyn
BronxtoManhattan,0.271509096,0.026990366,10.0594818,8.78E-24,*,Bronx,Manhattan
BronxtoQueens,-1.073211361,0.027630599,-38.84140776,0,*,Bronx,Queens
BronxtoStatenIsland,-1.440642201,0.063071522,-22.84140553,6.61E-115,*,Bronx,StatenIsland
BrooklyntoBronx,-0.793766841,0.029639126,-26.78104768,6.37E-157,*,Brooklyn,Bronx
BrooklyntoManhattan,0.105495447,0.024760053,4.26071166,2.04E-05,*,Brooklyn,Manhattan
BrooklyntoQueens,-0.683685456,0.02479385,-27.57480009,3.59E-166,*,Brooklyn,Queens
BrooklyntoStatenIsland,-1.273055266,0.036495162,-34.88284971,1.58E-263,*,Brooklyn,StatenIsland
ManhattantoBronx,0.341938176,0.027022515,12.65382502,1.21E-36,*,Manhattan,Bronx
ManhattantoBrooklyn,0.183718237,0.024775073,7.415446953,1.23E-13,*,Manhattan,Brooklyn
ManhattantoManhattan,0.866448746,0.024281517,35.68346904,1.62E-275,*,Manhattan,Manhattan
ManhattantoQueens,-0.140000439,0.024829083,-5.638566592,1.72E-08,*,Manhattan,Queens
ManhattantoStatenIsland,-0.564531891,0.038479981,-14.67079431,1.24E-48,*,Manhattan,StatenIsland
QueenstoBronx,-1.045966844,0.027606445,-37.88850147,7.17951774064797e-310,,Queens,Bronx
QueenstoBrooklyn,-0.669261804,0.02483639,-26.94682308,7.83E-159,*,Queens,Brooklyn
QueenstoManhattan,-0.246968043,0.024861354,-9.933813174,3.11E-23,*,Queens,Manhattan
QueenstoQueens,-0.130774827,0.023415562,-5.584953477,2.35E-08,*,Queens,Queens
QueenstoStatenIsland,-1.513424633,0.04525259,-33.44393432,1.24E-242,*,Queens,StatenIsland
StatenIslandtoBronx,-1.436010303,0.06209039,-23.12773831,9.68E-118,*,StatenIsland,Bronx
StatenIslandtoBrooklyn,-1.333146569,0.036745457,-36.28058206,1.26E-284,*,StatenIsland,Brooklyn
StatenIslandtoManhattan,-0.878037994,0.03855484,-22.77374235,3.06E-114,*,StatenIsland,Manhattan
StatenIslandtoQueens,-1.559784073,0.04620343,-33.75905399,3.89E-247,*,StatenIsland,Queens
StatenIslandtoStatenIsland,0.388350986,0.055295878,7.023145292,2.20E-12,*,StatenIsland,StatenIsland
